Analyte,EP-001,EP-002,EP-003,EP-004,EP-005,EP-006,EP-007,EP-008,EP-009,EP-010,EP-011,EP-012,EP-013,EP-014,EP-015,EP-016,EP-017,EP-018,EP-019,EP-020,EP-021,EP-022,EP-023,EP-024,EP-025,EP-026,EP-027
EPFR.spins_g,1.73E+17,7.46E+16,5.27E+16,1.01E+17,1.08E+17,1.25E+17,9.82E+16,8.37E+16,1.53E+17,1.24E+17,1.37E+17,1.75E+17,1.64E+17,2.93E+17,1.10E+17,2.74E+17,9.06E+16,2.90E+17,2.83E+17,1.55E+17,1.85E+17,4.27E+17,5.56E+17,1.93E+17,1.39E+17,4.00E+16,1.26E+17
B.mg_kg,8.921355512,14.48703663,11.2557697,12.03463122,8.615482599,7.297106612,8.138014839,10.64631294,11.0459931,8.984397982,9.937241938,11.73296393,8.48198477,11.80275259,10.30667328,11.33102659,14.28206338,12.24205977,26.33478505,13.05038587,13.46845024,13.95536645,14.0636857,10.93091309,12.20059385,10.96184955,9.592915884
Ca.mg_kg,1302.436654,9979.250072,4057.8388,1282.706984,1604.618306,1927.378162,1215.830681,1857.24266,5175.521465,3012.637543,4432.822504,7574.359471,2511.618864,5298.255292,1906.356059,23606.46884,3013.308102,8035.717121,74792.4254,30702.26802,7168.398654,14984.3786,105081.7029,4100.632376,9053.676658,1846.604905,2766.079018
Cu.mg_kg,15.78874416,18.92033541,20.36745477,20.25034981,11.99526199,10.21781963,14.98627044,12.48491753,13.96360228,13.11591695,13.81188886,31.87879475,16.95591498,26.45639896,23.28543768,32.01978647,24.44206336,46.73869522,84.75896777,44.03362494,29.20257744,33.85267065,52.55699431,19.27657854,25.62372987,19.57656268,19.11878943
Fe.mg_kg,23073.81079,25365.94443,24373.78165,23876.35616,21502.07999,21710.07514,20319.5833,21103.69533,22947.71604,23235.03714,24419.62786,26660.8526,22973.05954,26779.86552,28355.69569,24553.15368,31596.37947,28908.88321,55005.73594,26614.3911,26701.93659,26566.45995,24881.25011,28045.24045,27446.65551,32554.48038,27811.31032
K.mg_kg,2694.028253,3918.823845,2895.107637,3237.401151,2554.121714,2136.485032,2266.513813,2148.17337,3230.697211,2714.553639,3089.263623,3224.307997,2463.390692,3091.299863,3348.813075,2683.018549,4555.253314,3204.998813,2667.875451,2637.442621,3678.752708,2573.616224,2390.872944,2839.880959,1885.590342,3454.807143,3248.645162
Mg.mg_kg,2936.312615,5811.194542,3089.181022,3031.693672,2788.323649,2600.299077,2612.647511,2650.945772,3784.210633,3101.112959,3275.815796,3872.624781,2544.431162,2732.741521,3291.32409,3699.30013,4345.050156,3165.0627,13512.50994,3693.047328,3511.798242,2895.991707,5659.514241,3510.174433,2280.16895,3028.647347,2938.595827
Mn.mg_kg,452.0561958,406.4687782,573.4327954,349.085653,1274.31803,1141.970237,773.5012986,443.2343425,916.0464402,589.6934999,1081.034933,773.4875442,823.7070724,613.2264739,603.5041927,734.0667105,450.6924767,1002.986059,3570.378412,1087.160745,635.4857696,733.5693772,1577.360732,481.5984213,742.3356312,846.4196878,678.4875679
Na.mg_kg,84.27163754,95.80597829,88.18111151,79.84908025,110.7575061,89.64321368,111.3273142,79.12147719,124.3694574,86.65207954,123.9002329,131.1831521,113.7302271,117.3128313,96.31456509,143.5544492,103.3838137,180.8127027,241.3022812,195.84658,101.3557522,167.7980894,398.4587653,101.2807832,159.5271793,87.08910859,84.41858704
P.mg_kg,516.7086576,513.5782773,804.7518972,491.0355606,634.0565164,658.4412231,717.8644115,527.7325588,888.823208,741.3783408,879.1208751,1840.579116,846.7342278,809.3601795,697.2203296,703.4366358,523.0149342,900.1938846,1037.845808,782.430757,740.6521894,866.8845082,696.750371,279.4936028,839.6240785,700.2132295,516.4612388
S.mg_kg,320.7641229,277.607869,338.469656,257.7218043,253.1294505,160.5289959,310.3324099,249.963866,391.6683595,251.8290084,364.2445165,435.2869867,363.9295008,664.9508194,318.7744957,570.0344761,291.4519167,523.4793667,1396.189177,972.3784703,572.5136261,698.1754932,1577.41252,155.4502644,852.3962971,329.3038167,208.5015067
Zn.mg_kg,75.91804985,70.6072275,117.7654046,75.91762165,76.06774089,70.51899953,88.09634828,74.72619883,88.67623993,84.08424907,84.17557731,162.2029446,105.2939235,227.7980159,131.6524077,136.3514693,88.99023946,152.2721557,227.882788,227.135158,218.9881329,317.9848883,275.8389372,82.77977519,126.4336709,89.99799822,84.40010931
